Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
project-1-team-8,com.sismics.reader.core.model.jpa,Article,16,0,35,35,302,35,0,0,0.45714285714285713,12,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/Article.java,8
project-1-team-8,com.sismics.reader.core.model.jpa,Job,7,0,17,17,149,17,0,0,0.35294117647058826,3,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/Job.java,12
project-1-team-8,com.sismics.reader.core.model.jpa,Role,4,0,9,9,81,9,0,0,0.3333333333333333,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/Role.java,12
project-1-team-8,com.sismics.reader.core.model.jpa,BaseFunction,1,0,3,3,27,3,0,0,0.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/BaseFunction.java,10
project-1-team-8,com.sismics.reader.core.model.jpa,Config,2,0,5,5,45,5,0,0,0.4,3,1,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/Config.java,13
project-1-team-8,com.sismics.reader.core.model.jpa,JobEvent,6,0,15,15,133,15,0,0,0.26666666666666666,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/JobEvent.java,12
project-1-team-8,com.sismics.reader.core.model.jpa,UserArticle,7,0,15,15,135,15,0,0,0.3333333333333333,6,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/UserArticle.java,12
project-1-team-8,com.sismics.reader.core.model.jpa,Locale,1,0,3,3,27,3,0,0,0.0,3,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/Locale.java,10
project-1-team-8,com.sismics.reader.core.model.context,AppContext,8,0,11,8,154,15,0,0,0.18181818181818182,11,6,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/context/AppContext.java,21
project-1-team-8,com.sismics.reader.core.service,IndexingService,4,0,9,5,155,21,0,0,0.5555555555555556,2,12,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/service/IndexingService.java,33
project-1-team-8,com.sismics.reader.core.service,FeedService,1,0,32,5,371,69,0,0,0.21875,3,28,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/service/FeedService.java,50
project-1-team-8,com.sismics.reader.core.listener.async,ArticleDeletedAsyncListener,1,0,1,1,26,3,0,0,0.0,0,2,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/listener/async/ArticleDeletedAsyncListener.java,11
project-1-team-8,com.sismics.reader.core.listener.async,ArticleUpdatedAsyncListener,1,0,1,1,26,3,0,0,0.0,0,2,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/listener/async/ArticleUpdatedAsyncListener.java,11
project-1-team-8,com.sismics.reader.core.listener.async,RebuildIndexAsyncListener,1,0,1,1,26,2,0,0,0.0,0,4,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/listener/async/RebuildIndexAsyncListener.java,13
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,3,0,6,1,370,40,0,0,0.0,0,32,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/listener/async/SubscriptionImportAsyncListener.java,46
project-1-team-8,com.sismics.reader.core.listener.async,ArticleCreatedAsyncListener,1,0,1,1,27,3,0,0,0.0,0,2,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/listener/async/ArticleCreatedAsyncListener.java,13
project-1-team-8,com.sismics.reader.core.listener.async,FaviconUpdateRequestedAsyncListener,1,0,1,1,32,4,0,0,0.0,0,5,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/listener/async/FaviconUpdateRequestedAsyncListener.java,14
project-1-team-8,com.sismics.reader.core.listener.sync,DeadEventListener,1,0,1,1,17,1,0,0,0.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/listener/sync/DeadEventListener.java,9
project-1-team-8,com.sismics.reader.core.event,SubscriptionImportedEvent,2,0,5,5,45,5,0,0,0.0,2,1,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/event/SubscriptionImportedEvent.java,8
project-1-team-8,com.sismics.reader.core.event,ArticleCreatedAsyncEvent,1,0,3,3,27,3,0,0,0.0,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/event/ArticleCreatedAsyncEvent.java,8
project-1-team-8,com.sismics.reader.core.event,ArticleUpdatedAsyncEvent,1,0,3,3,27,3,0,0,0.0,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/event/ArticleUpdatedAsyncEvent.java,8
project-1-team-8,com.sismics.reader.core.event,FaviconUpdateRequestedEvent,1,0,3,3,27,3,0,0,0.0,2,1,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/event/FaviconUpdateRequestedEvent.java,6
