Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderPloumTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderPloumTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloperWorksTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloperWorksTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceDailyTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceDailyTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloppezTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloppezTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderHaverbekeTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderHaverbekeTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
