Project Name,Package Name,Type Name,Method Name,Code Smell
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Method
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Empty catch clause
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Method
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,endElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,endElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,endElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,endElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,endElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,endElement,Complex Method
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,endElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,endElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderGizmodoTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderApodTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderKorbenTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderPloumTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderPloumTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderRottenTomatoesTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderXkcdTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderXkcdTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderWhatifTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderEsaTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderEsaTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMakikoTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMakikoTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMarijnhaverbekeTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderPloumTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderPloumTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloperWorksTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceDailyTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloppezTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloppezTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloppezTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloppezTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderDeveloppezTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderHaverbekeTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSlackwareTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSlackwareTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderMalikiTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderNovaTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rdfReaderAutostripTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rdfReaderLxerTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rdfReaderMeisalamTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rdfReaderOatmealTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderIboxTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderBysmeTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderNasaTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderNasaTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderNasaTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderNasaTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.json,StarredReader,read,Complex Method
